mcmod_id,curseforge_slug,modrinth_slug,name,subname,abbr
1,,,我的世界原版,Minecraft,MC
2,industrial-craft,industrial-craft,工业时代2,Industrial Craft 2,IC2
3,,redpower2-core,红石力量2,RedPower2,RP2
4,buildcraft,buildcraft,建筑,BuildCraft,BC
5,forestry,forestry,林业,Forestry,FR
6,railcraft,railcraft-reborn,铁路,Railcraft,RC
7,minefactory-reloaded,,我的工厂重置版,MineFactory Reloaded,MFR
8,computercraft,computercraft,电脑,Computer Craft,CC
9,,ee2,等价交换2,Equivalent Exchange 2,EE2
10,,,被遗忘的大自然,Forgotten Nature,FN
11,touhou-item-mod,,辉夜姬的五难题,五つの難題MOD+ ~ Touhou Items,
12,secretroomsmod,,密室,SecretRoomsMod,SR
13,the-camping-mod,,野营,The Camping Mod,
14,usefulfood,,有用的食物,UsefulFood,UF
15,powerconverters-portablejims-fork,,能源转换,PowerConverters,PC
16,,,变压器,Transformers,
17,,,吉米的家具,Jammy Furniture,JF
18,modular-forcefield-system,,模块化力场系统,Modular Forcefield System,MFFS
19,minechem-recompile,,化学,MineChem,CH
20,iron-chests,iron-chests,更多箱子,Iron Chests,
21,balkons-weaponmod,,更多武器,Balkon's WeaponMod,BWM
22,advanced-machines,advanced-machines-uuum,高级机械,AdvancedMachines,
23,advanced-solar-panels,,高级太阳能,Advanced Solar Panels,ASP
24,nuclear-control-2,,核电控制2,Nuclear Control 2,IC2NC
25,,,魔法艺术,Ars Magica,AM
26,better-dungeons,,更好的地牢/寻找巧克力,Better Dungeons / Chocolate Quest,
27,flans-mod-5-5-2,,Flan 的枪械,Flan's Mod,
28,tfcraft,terrafirmacraft,群峦传说,TerraFirmaCraft,TFC
29,,,神秘时代3,Thaumcraft 3,TC3
30,,,Minecraft Forge,,Forge
31,ee3,,等价交换3,Equivalent Exchange 3,EE3
32,minefactory-reloaded,,我的工厂2,MineFactoryReloaded 2,MFR2
33,,,Risugami's ModLoader,,RML
34,render-player-api,,玩家渲染API,Render Player API,
35,player-api,,玩家API,Player API,
36,,,高清修复,OptiFine,OF
37,,,模组37(获取失败),,
38,,,模组38(获取失败),,
39,,,模组39(获取失败),,
40,ic2-classic,ic2classic,工业时代2经典版,IC2 Classic,IC2C
41,not-enough-items-1-8,nei,NEI物品管理器,Not Enough Items,NEI
42,,,TMI内置修改器,TooManyItems,TMI
43,,,中文输入修复补丁,Minecraft Language InputFix,
44,,,更多语言,MoLanguage,
45,custom-npcs,,自定义NPC,Custom NPCs,
46,millenaire,,千年村庄,Millénaire,
47,clay-soldiers-mod,,粘土士兵,Clay Soldiers Mod,
48,mo-creatures,,更多生物,Mo' Creatures,MOC
49,,,精灵宝可梦,Pixelmon,PM
50,extrabiomesxl,,更多生态群系,ExtraBiomesXL,EBXL
51,,,格雷科技4,GregTech 4,GT4
52,,,模组52(获取失败),,
53,,,模组53(获取失败),,
54,,,模组54(获取失败),,
55,tale-of-kingdoms,,王国,Tale Of Kingdoms,
56,,,守护精灵,Familiars,
57,,,模组57(获取失败),,
58,,,正版皮肤显示修正,AntiSteve,
59,tfcraft,terrafirmacraft,群峦传说,TerraFirmaCraft,TFC
60,,,灵魂碎片,Soul Shards,SS
61,the-twilight-forest,,暮色森林,The Twilight Forest,TF
62,binnies-mods,,更多蜜蜂,Extra Bees,EB
63,portal-gun,,传送枪,Portal Gun,
64,simpleores,simpleores,简单矿石,SimpleOres,
65,smart-moving,,灵活动作,Smart Moving,
66,easycrafting,,轻松合成,Easy Crafting,
67,thermal-expansion,,热力膨胀3,Thermal Expansion 3,TE3
68,,,费如罗的枪械,Ferullo's Guns,
69,,,压缩风电阵列,Compact Windmills,
70,,,元素魔法,Manasys,
71,computercraft,computercraft,电脑,Computer Craft,CC
72,,,特殊防具,Special Armor,
73,inventory-tweaks,,R键整理,Inventory Tweaks,
74,,,更多弓,More Bows,
75,minecraft-minions,,召唤奴仆,Minecraft Minions,
76,ender-storage,ender-storage,末影存储,Ender Storage,
77,,,勇者斗恶龙,Dragon Quest Monster,DQM
78,,,内置音乐播放器,MCMP-1,
79,,,模组79(获取失败),,
80,forge-nbtedit-for-1-7-10,,内置NBT编辑器,In-Game NBTEdit,IGN
81,extra-utilities,,更多实用设备,Extra Utilities,ExU
82,,,模组82(获取失败),,
83,,,模组83(获取失败),,
84,,,立体机动装置,Hookshot,
85,rotarycraft,,旋转工艺,RotaryCraft,RoC
86,,,万用工具,OmniTools,
87,applied-energistics-1,ae1,应用能源,Applied Energistics 1,AE
88,,,奥法卷轴,Arcane Scroll,
89,,,死神之镰,Harken Scythes,
90,,,盾与巨剑,Asgard Shield,
91,,,锁链,Chainz,
92,Universal-Electricity,,通用电力,Universal Electricity,UE
93,,better-than-wolves,比狼好,Better Than Wolves,BTW
94,aether,aether,天境,The Aether,AE
95,,miscperipherals,电脑外设,MiscPeripherals,
96,,,高级核电,Advanced Reactors,AR
97,assassincraft-assassins-creed-mod,,刺客信条,AssassinCraft,
98,,,更真实的地图生成,Realistic World Gen,RWG
99,custom-recipes,,自定义合成表,Custom Recipes,
100,minecraft-comes-alive-mca,,虚拟人生/凡家物语,Minecraft Comes Alive,MCA
101,tinkers-construct,tinkers-construct,匠魂,Tinkers' Construct,TiC
102,,,BukkitForge,,
103,forge-essentials-74735,forge-essentials,ForgeEssentials,,FE
104,,,帕拉瑞亚,Palaria,
105,translocators-1-8,translocators,转运器,Translocators,
106,craftguide,,G键合成表,CraftGuide,
107,,,生物图鉴,Mob Dictionary,
108,biomes-o-plenty,biomes-o-plenty,超多生物群系,Biomes O' Plenty,BOP
109,,,竹,Bamboo,
110,,,立体机动装置（Ibemu版）,立体機動装置MOD / Three-Dimensional Maneuver Gear,TDMG
111,enhanced-portals-3,,增强传送门3,Enhanced Portals 3,
112,compact-solars,,压缩太阳能阵列,CompactSolars / Compact Solar Arrays,
113,bibliocraft,,收藏馆,BiblioCraft,
114,natura,,自然,Natura,
115,atomic-science,,原子科学,Atomic Science,
116,,,越肩视角,Shoulder Surfing,
117,atum,,阿图姆：沙漠之旅/亚图姆：金沙之旅,Atum 2: Return to the Sands,ATUM2
118,blockphysics_by_id_miner,,方块物理学,BlockPhysics,
119,,,火箭科技,Rocket Science,RS
120,,,盖亚魔典2,GRIMOIRE OF GAIA 2,GOG2
121,remain-in-motion,,运动红石机构,Remain in Motion,
122,,,开放式电脑传感器,OpenCCSensors,OpenCCS
123,openperipheralcore,,开放式电脑外设,OpenPeripheral,
124,modular-powersuits,modularpowersuits,模块化动力套装,Modular Powersuits,MPS
125,,,模组125(获取失败),,
126,,,模组126(获取失败),,
127,,,模组127(获取失败),,
128,,,模组128(获取失败),,
129,,immibis-microblocks,Immibis的小方块,Immibis's Microblocks,
130,,,模组130(获取失败),,
131,,,模组131(获取失败),,
132,,redlogic,红石逻辑,RedLogic,
133,,,能量工厂,Power Craft,PC
134,obsidiplates,,黑曜石压力板,ObsidiPlates,
